Name,State,Prog Length,School Type,2013_DRate,2012_DRate,2011DRate
CAROLINA CHRISTIAN COLLEGE,NC,8,2,25.5,28.5,32.2
UMPQUA COMMUNITY COLLEGE,OR,5,1,25.4,25.4,34.5
UNITECH TRAINING ACADEMY,LA,4,3,25.4,26.3,33.5
UNIVERSITY OF SOUTH CAROLINA - SALKEHATCHIE,SC,6,1,25.4,25.9,21.5
EASTERN GATEWAY COMMUNITY COLLEGE,OH,5,1,25.4,30.1,30.1
SOUTHEAST ARKANSAS COLLEGE,AR,5,1,25.4,26.7,26.3
CENTRAL OREGON COMMUNITY COLLEGE,OR,5,1,25.3,27.7,23.9
SOUTHERN TECHNICAL COLLEGE,FL,5,3,25.3,20,16.2
NORTH GEORGIA TECHNICAL COLLEGE,GA,5,1,25.3,25.4,0
LUNA COMMUNITY COLLEGE,NM,5,1,25.3,24.7,26
PENNSYLVANIA ACADEMY OF COSMETOLOGY ARTS & SCIENCES,PA,3,3,25.3,27.5,28.2
UNITED EDUCATION INSTITUTE,CA,5,3,25.2,25.9,22
SOUTHERN ARKANSAS UNIVERSITY TECH,AR,5,1,25.2,21.9,27.6
LANE COMMUNITY COLLEGE,OR,5,1,25.1,24.6,27.4
VATTEROTT COLLEGE,IA,5,3,25.1,19.9,18.8
GUILFORD TECHNICAL COMMUNITY COLLEGE,NC,5,1,25,25.1,29.7
SOUTHWESTERN ILLINOIS COLLEGE,IL,5,1,25,24.9,22.9
RICHLAND COMMUNITY COLLEGE,IL,5,1,25,24.3,18
GARRETT COLLEGE,MD,5,1,25,23.9,21
HAYWOOD COMMUNITY COLLEGE,NC,5,1,25,30.7,0
BALTIMORE STUDIO OF HAIR DESIGN,MD,3,3,25,24.7,22.3
HILLSDALE BEAUTY COLLEGE,MI,3,3,25,27.6,22.2
SUNNYSIDE BEAUTY ACADEMY,WA,3,3,25,24.3,20.8
CC'S COSMETOLOGY COLLEGE,OK,3,3,25,19.4,27.4
FORSYTH TECHNICAL COMMUNITY COLLEGE,NC,5,1,24.9,18.9,0
AMERICAN RIVER COLLEGE,CA,5,1,24.8,26.3,25
LONG BEACH CITY COLLEGE,CA,5,1,24.8,24.2,30.1
SOUTHERN STATE COMMUNITY COLLEGE,OH,5,1,24.8,28.4,31.4
LAKE LANIER SCHOOL OF MASSAGE,GA,3,3,24.8,33.1,37.8
VATTEROTT COLLEGE,MO,6,3,24.7,19,20.9
CHARLES STEWART MOTT COMMUNITY COLLEGE,MI,5,1,24.7,24.8,19.2
PITT COMMUNITY COLLEGE,NC,5,1,24.7,23.6,23.6
UNIVERSIDAD CENTRAL DEL ESTE,FC,8,6,24.7,28.5,27.5
MEDICAL INSTITUTE OF PALM BEACH,FL,3,3,24.7,15.1,10.9
TREASURE VALLEY COMMUNITY COLLEGE,OR,5,1,24.6,25.2,32.2
LE CORDON BLEU COLLEGE OF CULINARY ARTS IN CHICAGO,IL,5,3,24.6,27.5,26.6
NORTHERN NEW MEXICO COLLEGE,NM,6,1,24.6,26.3,19.1
"COSMETOLOGY CAREERS UNLIMITED COLLEGE OF HAIR, SKIN, AND NAILS",MN,3,3,24.6,23.6,26.6
ALBANY TECHNICAL COLLEGE,GA,5,1,24.5,25,20
ROWAN-CABARRUS COMMUNITY COLLEGE,NC,5,1,24.5,28.7,0
ARIZONA WESTERN COLLEGE,AZ,5,1,24.5,27,21.4
SOUTHWEST SCHOOL OF BUSINESS & TECHNICAL CAREERS,TX,3,3,24.5,19.5,31.9
NORTH AMERICAN UNIVERSITY,TX,8,2,24.5,16.6,0
OLD TOWN BARBER  COLLEGE,KS,3,3,24.5,22.2,23
LE CORDON BLEU COLLEGE OF CULINARY ARTS,OR,5,3,24.4,24.5,22.6
READING AREA COMMUNITY COLLEGE,PA,5,1,24.4,25.7,26.4
MINERAL AREA COLLEGE,MO,5,1,24.4,23.3,24.3
SANTA FE COMMUNITY COLLEGE,NM,5,1,24.4,23.9,22
TREND BARBER COLLEGE,TX,3,3,24.4,24.7,25
NATIONAL ACADEMY OF BEAUTY ARTS,MO,3,3,24.4,28.4,30.4
EAST ARKANSAS COMMUNITY COLLEGE,AR,5,1,24.4,28.1,24.4
SOUTHERN WEST VIRGINIA COMMUNITY AND TECHNICAL COLLEGE,WV,5,1,24.4,21,24.2
WASHINGTON BARBER COLLEGE,AR,3,3,24.4,15.3,0
MESA COMMUNITY COLLEGE,AZ,5,1,24.3,22.9,19.2
PARKLAND COLLEGE,IL,5,1,24.3,21.9,25.6
ALPENA COMMUNITY COLLEGE,MI,6,1,24.3,21.5,15.5
PENINSULA COLLEGE,WA,6,1,24.3,21.1,25
CAREER COLLEGE OF NORTHERN NEVADA,NV,5,3,24.3,23.8,24.7
SOUTHEASTERN COMMUNITY COLLEGE,NC,5,1,24.2,32.7,33.2
GALVESTON COLLEGE,TX,5,1,24.2,21.7,17.5
ASTRODOME CAREER CENTERS,TX,3,3,24.2,15,22
SPRINGFIELD COLLEGE OF BEAUTY,OR,4,3,24.2,12.5,13.7
HOT SPRINGS BEAUTY COLLEGE,AR,3,3,24.2,15.4,23
FLORIDA GATEWAY COLLEGE,FL,6,1,24.1,15.4,15.8
SOWELA TECHNICAL COMMUNITY COLLEGE,LA,5,1,24.1,23.4,24.5
CAPITAL AREA TECHNICAL COLLEGE,LA,5,1,24.1,22.9,24.5
BLUE RIDGE COMMUNITY COLLEGE,NC,5,1,24.1,21.1,24.3
HAMRICK SCHOOL,OH,2,3,24.1,28,26.3
MYCOMPUTERCAREER.COM /TECHSKILLS,OH,3,3,24.1,17.6,16.1
ACADEMY OF HAIR DESIGN,OR,4,3,24.1,30.7,28
WELDER TRAINING & TESTING INSTITUTE,PA,3,3,24.1,16,21.1
CLARK STATE COMMUNITY COLLEGE,OH,5,1,24,25.3,23.6
STATE FAIR COMMUNITY COLLEGE,MO,5,1,24,26.1,28
PIEDMONT TECHNICAL COLLEGE,SC,5,1,24,24.9,22.6
BERK TRADE & BUSINESS SCHOOL,NY,3,3,24,23.9,21
TAYLOR BUSINESS INSTITUTE,IL,5,3,24,17.6,11.9
INFINITY CAREER COLLEGE,MS,3,3,24,26.2,0
EVEREST COLLEGE,CO,5,2,23.9,18.5,24
CENTRAL CAROLINA TECHNICAL COLLEGE,SC,5,1,23.9,24.6,21.5
FORT WORTH BEAUTY SCHOOL,TX,3,3,23.9,20.8,32.6
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY - NASHVILLE,TN,4,1,23.9,24.7,26.9
MISSISSIPPI GULF COAST COMMUNITY COLLEGE,MS,5,1,23.8,24.4,22.9
CONNORS STATE COLLEGE,OK,5,1,23.8,24.6,22.4
LE CORDON BLEU COLLEGE OF CULINARY ARTS,CA,5,3,23.8,24.9,25
VANCE - GRANVILLE COMMUNITY COLLEGE,NC,5,1,23.8,36.1,0
INTERNATIONAL BEAUTY SCHOOL,WV,4,3,23.8,15.8,25.6
JOSEFS SCHOOL OF HAIR DESIGN,ND,3,3,23.8,22.9,10.8
BEAUTY ACADEMY,WA,4,3,23.8,23.7,25.7
KANKAKEE COMMUNITY COLLEGE,IL,5,1,23.7,21.5,15.1
HINDS COMMUNITY COLLEGE,MS,5,1,23.6,23.7,26
NAVARRO COLLEGE,TX,5,1,23.6,22.7,23.5
UNIVERSITY OF ARKANSAS AT MONTICELLO,AR,8,1,23.6,24.9,22.6
ZANE STATE COLLEGE,OH,5,1,23.6,24.8,24
OLIVE-HARVEY COLLEGE,IL,5,1,23.6,13.8,0
VOORHEES COLLEGE,SC,6,2,23.6,21.7,17.8
MYCOMPUTERCAREER.COM /TECHSKILLS,IN,3,3,23.6,19.3,28.3
CARTERET COMMUNITY COLLEGE,NC,5,1,23.6,27.5,32
HAIRMASTERS INSTITUTE OF COSMETOLOGY,IL,3,3,23.6,27.5,36
"COLORLAB ACADEMY OF HAIR, THE",MD,3,3,23.6,23.6,29.4
SOUTH CENTRAL CAREER CENTER,MO,3,1,23.6,25.4,22
EVANS HAIRSTYLING COLLEGE OF CEDAR CITY,UT,3,3,23.6,24.3,17.7
TALLAHASSEE COMMUNITY COLLEGE,FL,5,1,23.5,23.3,23.8
PITTSBURGH CAREER INSTITUTE,PA,5,3,23.5,22.3,24.2
TUCSON COLLEGE,AZ,3,3,23.5,23.5,34.7
ELLSWORTH COMMUNITY COLLEGE,IA,5,1,23.5,23.6,23.2
CARL ALBERT STATE COLLEGE,OK,5,1,23.5,23.3,26.3
DAVIS COLLEGE,OH,5,3,23.5,20.8,25.2
BEAL COLLEGE,ME,5,3,23.5,21.9,22.4
BEAUFORT COUNTY COMMUNITY COLLEGE,NC,5,1,23.5,28.1,6.1
SOUTHWESTERN COMMUNITY COLLEGE,NC,5,1,23.5,27.1,18.5
INTERNATIONAL BARBER & STYLE COLLEGE,TN,3,3,23.5,25.2,32.5
COLLEGE OF WILMINGTON,NC,3,3,23.5,25,35.2
GEORGIA BEAUTY ACADEMY,GA,3,3,23.5,27,34.4
NATIONAL AMERICAN UNIVERSITY,SD,8,3,23.4,20.6,21.4
BEAUTY SCHOOLS OF AMERICA,FL,3,3,23.4,24.7,30.8
ROGUE COMMUNITY COLLEGE,OR,5,1,23.4,24.5,24.6
FRESNO CITY COLLEGE,CA,5,1,23.4,29.6,38.4
PRISM CAREER INSTITUTE,PA,3,3,23.4,23,32.9
NORTH ARKANSAS COLLEGE,AR,5,1,23.4,22.8,24.5
